Type,Product,Brand,Name,Price
SkinCare,防曬,Hada-Labo 肌研,藥用美白防曬乳液SPF50+ PA+++,350
SkinCare,防曬,Hada-Labo 肌研,玻尿酸保濕防曬凝露SPF50+/PA++++ SH UV Creamy Gel SPF50+/PA++++,380
SkinCare,防曬,LANCOME 蘭蔻,UV超輕盈柔白隔離乳SPF50/PA++++,1750
SkinCare,防曬,CLINIQUE 倩碧,勻淨超防禦青春隔離霜SPF40/PA+++,1400
SkinCare,防曬,CureCare 炫曜,水潤保濕防曬乳霜 SPF40 PA+++,1200
SkinCare,防曬,Za,美白防曬霜SPF26/PA++,200
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬 粉紫美白防曬露SPF32/PA+++ Whitening UV protector SPF32/PA+++,1050
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,淨白肌密防護乳SPF50/PA+++ WHITENING PROTECTIOR,1350
SkinCare,防曬,shu uemura 植村秀,UV泡沫隔離霜升級版 SPF30 PA+++ UV Under Base Mousse SPF30 PA+++,1400
SkinCare,防曬,O HUI 歐蕙,長效艷陽防曬餅 SPF50+/PA+++ Intensive Sun Block Cake,1680
SkinCare,防曬,NIVEA 妮維雅,水感清透防曬隔離露SPF50+/PA+++,229
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,臉部溫和防曬乳SPF43/PA+++,1100
SkinCare,防曬,KIEHL'S 契爾氏,白水蓮茉莉UV隔離霜SPF 35 PA+++ NYMPHAEA ALBA UV SHIELD SPF 35 / PA+++,1250
SkinCare,防曬,media 媚點,媚點 防曬粉霜SPF25．PA++,280
SkinCare,防曬,ALLIE,燦爛光澤肌UV防曬水凝乳SPF50+/PA++++(薔肌玫香),730
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,怡麗絲爾淨白多效日間美肌乳T+ SPF50+/PA++++,1100
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬金鑽高效敏感肌防曬露SPF50+/PA++++,950
SkinCare,防曬,ettusais 艾杜紗,超親膚溫和防曬精華乳SPF35+/PA+++,520
SkinCare,防曬,FRANCENA 法蘭西娜,柔護淨透防曬隔離乳 Sun Protection Emulsion SPF50 ★★★★,420
SkinCare,防曬,RMK,高效UV防護隔離霜SPF45/PA++++ Long Lasting UV SPF45/PA++++,1350
SkinCare,防曬,BEVY C. 妝前保養,高保濕無油防曬乳SPF50+/PA++++ Moisturizing UV Sunscreen SPF50+/PA++++,780
SkinCare,防曬,BEVY C. 妝前保養,輕透裸肌隔離防護霜SPF35/PA+++ Ultra Fine Daily Sun Protector SPF35PA+++,650
SkinCare,防曬,VICHY 薇姿,淨膚透白防曬隔離乳(清爽型),890
SkinCare,防曬,Fasio 菲希歐,[海外販售] 超護UV舒潤防曬凝露 FASIO UV PROTECT GEL N,300
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,淨白肌密多效日間美肌乳( II ) SPF50+/PA+++,1100
SkinCare,防曬,LA ROCHE-POSAY 理膚寶水,安得利清爽防曬噴液SPF50+/PPD25 ANTHELIOS SPRAY SPF 50+/PPD25,1200
SkinCare,防曬,Kanebo 佳麗寶-專櫃,UV EX高效防曬凝乳(礦物保濕型)N SPF50+/PA++++ ALLIE EX UV PROTECTOR GEL (MINERAL MOIST) N,1050
SkinCare,防曬,Kanebo 佳麗寶-專櫃,UV EX高效防曬乳(完美無瑕型)N SPF50+/PA+++,1050
SkinCare,防曬,divinia 蒂芬妮亞,零負擔輕透水防曬 SPF30 (臉部.身體),299
SkinCare,防曬,cle de peau Beaute 肌膚之鑰,無齡透白防曬乳SPF50.PA+++ Cream protection UV卅UV protection cream,3300
SkinCare,防曬,SHISEIDO 資生堂-國際櫃,美透白潤色呵護素SPF33/PA+++,1400
SkinCare,防曬,M.A.C,專業妝前高效隔離乳 SPF50 PA++,1250
SkinCare,防曬,LANCOME 蘭蔻,UV瞬白隔離乳SPF50/PA+++ UV EXPERT DNA SPF50/PA+++,1650
SkinCare,防曬,SANA 莎娜,豆乳美肌嫩白防曬乳SPF29.PA+++,480
SkinCare,防曬,Dior 迪奧,雪晶靈極淨嫩白防護隔離霜 SPF50 PA++ Ultimate Whitening UV Base Translucent,1580
SkinCare,防曬,SHISEIDO 資生堂-開架式,清爽防曬露SPF28.PA++,240/430
SkinCare,防曬,POND'S 旁氏,水基底隔離防曬凝露SPF30.PA++,329
SkinCare,防曬,Kanebo 佳麗寶-專櫃,UV防護露SPF50.PA+++,890
SkinCare,防曬,SHISEIDO 資生堂-國際櫃,美.透.白呵護素SPF32/PA++ White Lucent Defense UV SPF32/PA++,0
SkinCare,防曬,KOSE 高絲-專櫃,極度零感防曬露SPF50+/PA++++ SportsBeauty UVWEAR Super Smooth,550
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌瞬間清爽防曬噴霧-清新香氛SPF50+/PA++++,319
SkinCare,防曬,Za,不畏艷陽清透防曬乳SPF50+/PA++++,280
SkinCare,防曬,Hada-Labo 肌研,極潤完美多效清透凝露UV,380
SkinCare,防曬,SHISEIDO 資生堂-國際櫃,新艷陽夏水離子高效防晒露SPF50+/PA++++ SHISEIDO SUNCAREPERFECT UV PROTECTOR SPF50+/PA++++,1350
SkinCare,防曬,SUNCUT 曬可皙,高效防曬噴霧SPF50+/PA++++ SUNCUT UV PROTECT SPRAY SPF50+/PA++++,298/358
SkinCare,防曬,Cellina 雪芙蘭,超水感清透保濕防曬乳液SPF50+★★★★,179
SkinCare,防曬,L'OREAL PARiS 巴黎萊雅,完美UV 防曬水精華SPF30/PA+++,350
SkinCare,防曬,SENKA 專科,礦泉水感Q10保濕防曬乳SPF50+/PA++++,330
SkinCare,防曬,Neutrogena 露得清,水肌因溼膚防曬輕透乳液,499
SkinCare,防曬,THREE,平衡UV防護乳SPF30/PA+++,1350
SkinCare,防曬,Neutrogena 露得清,細白活肌防曬隔離乳SPF 50+ PA+++,519
SkinCare,防曬,SOFINA 蘇菲娜,芯美顏保濕日間防禦乳SPF30.PA+++,800
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,防曬乳液(溫和寶貝型)SPF50+/PA+++,220
SkinCare,防曬,AQUA LABEL 水之印,光感保濕隔離霜 SPF20 PA++,320
SkinCare,防曬,OMI 近江兄弟社,歐米紫外線UV隔離防曬乳霜 SPF50+,0
SkinCare,防曬,ENDOCARE 杜克,H 艾莉卡防曬凝膠SPF50 SPF50 Heliocare Gel,1200.0
SkinCare,防曬,SANA 莎娜,豆乳美肌保溼防曬隔離霜 SPF19 PA++,315
SkinCare,防曬,LA ROCHE-POSAY 理膚寶水,全護臉部清爽防曬液SPF50/PPD18 UVIDEA XL Cream 50 SPF50.PPD18,980
SkinCare,防曬,LANCOME 蘭蔻,UV瞬白潤色隔離乳SPF50/PA+++ UV EXPERT DNA MAKE UP BASE SPF50/PA+++,1650
SkinCare,防曬,CHANEL 香奈兒,多重防曬隔離乳 SPF50 PA+++,1750
SkinCare,防曬,U CARE,無瑕隔離防曬乳,1280
SkinCare,防曬,Avon 雅芳,雅芳美白CUV隔離液,1000
SkinCare,防曬,Swissvita 薇佳,多效物理隔離EE霜 (VitaBtech升級版),880
SkinCare,防曬,Avon 雅芳,新活恆白松露UV精華乳SPF50+/PA++++,860
SkinCare,防曬,LANCOME 蘭蔻,超輕盈UV提亮素顏霜SPF50+/PA++++,1950
SkinCare,防曬,SEXYLOOK 極美肌,極酵防曬噴霧,199
SkinCare,防曬,Kanebo 佳麗寶-專櫃,EX UV防曬亮顏飾底乳SPF50+/PA++++,950
SkinCare,防曬,SHISEIDO 資生堂-國際櫃,果凍防曬棒SPF50+/PA++++,1050
SkinCare,防曬,URIAGE 優麗雅,全護高效兒童防曬乳液SPF50+ BARIESUN LAIT ENFANTSPF50+,1200
SkinCare,防曬,SHISEIDO 資生堂-東京櫃,安耐曬銀鑽保濕防曬乳SPF50+/PA++++,750
SkinCare,防曬,WHITE FORMULA 自白肌,高保濕潤色防曬隔離乳SPF50+/PA+++ UV Protective Lotion SPF50+/PA+++,390
SkinCare,防曬,AYURA,不調姬敏弱全護防曬乳SPF50+/PA+++ f SIGN DEFENSE HIGH PROTECTION SPF50+/PA+++,900
SkinCare,防曬,heme,美白清透防曬凝膠SPF50+★★★★,219
SkinCare,防曬,PAUL&JOE,糖瓷玩美精華隔離乳SPF30/PA+++ PERFECT MAKEUP PRIMER,1500
SkinCare,防曬,SUNCUT 曬可皙,高效防曬隔離凝露SPF50+/PA++++ (一般型) PROTECT GEL SPF50+/PA++++,348
SkinCare,防曬,DHC,Q10持久粉嫩隔離霜SPF30/PA++ Q10 Moisture Care Color Base EX SPF30 PA++,550
SkinCare,防曬,LANCOME 蘭蔻,超輕盈玫瑰隔離乳SPF50/PA++++,1900
SkinCare,防曬,ORBIS,極緻完美抗陽粉底液SPF50 PA++++,680
SkinCare,防曬,Vaseline 凡士林,SPF24蘆薈防曬修護潤膚露,199
SkinCare,防曬,Cellina 雪芙蘭,超水感清透防曬凝露SPF27★★★,179
SkinCare,防曬,Cellina 雪芙蘭,超水感清透淨白防曬乳液SPF50+ ★★★★,179
SkinCare,防曬,MENTHOLATUM 曼秀雷敦,水潤肌瞬間清爽防曬露SPF50+/PA++++ SARAFIT UV Smooth Watery Essence,290
